responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,PROTOTYPICALITY,CORRELATED,TAG
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_238_2,How odd is the number 827?,4,comp_241_3,Completely odd,1,low,odd,eighthundredtwentyseven
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_90_2,How odd is the number 4?,5,comp_90_3,Not very odd,0,high,even,four
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_50_2,How good an example of an odd number is the number 158?,6,comp_50_3,Bad,0,low,even,onehundredfiftyeight
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_246_2,How well does the number 532 represent the category of odd numbers?,7,comp_246_3,Poorly,3,low,even,fivehundredthirtytwo
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_146_2,How good an example of an odd number is the number 463?,8,comp_148_3,Somewhat good,1,low,odd,fourhundredsixtythree
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_162_2,How good an example of an odd number is the number 6?,9,comp_162_3,Bad,3,high,even,six
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_214_2,How well does the number 8 represent the category of odd numbers?,10,comp_214_3,Poorly,1,high,even,eight
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_142_2,How odd is the number 1?,11,comp_144_3,Somewhat odd,3,high,odd,one
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,12,comp_201_3,Well,3,high,odd,nine
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_186_2,How odd is the number 730?,13,comp_186_3,Not very odd,3,low,even,sevenhundredthirty
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_126_2,How odd is the number 396?,14,comp_126_3,Not at all odd,0,low,even,threehundredninetysix
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr23,AVI77MTGQS0T9,survey1,q_26_2,How odd is the number 241?,15,comp_29_3,Very odd,3,low,odd,twofortyone
sr23,AVI77MTGQS0T9,survey1,q_-1_-1,1394486640300,-1,comp_-1_-1,1394486640300,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_254_2,How odd is the number 532?,16,comp_254_3,Not at all odd,1,low,even,fivehundredthirtytwo
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_258_2,What is your native tongue?,0,comp_258_3,American English,2,,,
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_50_2,How good an example of an odd number is the number 158?,1,comp_50_3,Bad,2,low,even,onehundredfiftyeight
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_38_2,How well does the number 2 represent the category of odd numbers?,2,comp_41_3,Well,2,high,even,two
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_22_2,How well does the number 241 represent the category of odd numbers?,3,comp_25_3,Well,0,low,odd,twofortyone
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_74_2,How odd is the number 7?,4,comp_77_3,Very odd,3,high,odd,seven
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_166_2,How well does the number 6 represent the category of odd numbers?,5,comp_166_3,Poorly,2,high,even,six
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_126_2,How odd is the number 396?,6,comp_126_3,Not at all odd,2,low,even,threehundredninetysix
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_10_2,How odd is the number 3?,7,comp_13_3,Very odd,0,high,odd,three
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_190_2,How odd is the number 730?,8,comp_190_3,Not at all odd,3,low,even,sevenhundredthirty
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,9,comp_198_3,Poorly,3,high,odd,nine
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_142_2,How odd is the number 1?,10,comp_145_3,Completely odd,0,high,odd,one
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_210_2,How good an example of an odd number is the number 8?,11,comp_210_3,Bad,1,high,even,eight
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_230_2,How well does the number 827 represent the category of odd numbers?,12,comp_230_3,Poorly,2,low,odd,eighthundredtwentyseven
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_150_2,How well does the number 463 represent the category of odd numbers?,13,comp_153_3,Well,3,low,odd,fourhundredsixtythree
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_86_2,How well does the number 4 represent the category of odd numbers?,14,comp_86_3,Poorly,0,high,even,four
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr24,A1IIRA7QMMKU4A,survey1,q_98_2,How good an example of an odd number is the number 465?,15,comp_98_3,Bad,3,low,odd,fourhundredsixtyfive
sr24,A1IIRA7QMMKU4A,survey1,q_-1_-1,1394486913890,-1,comp_-1_-1,1394486913890,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_46_2,How odd is the number 2?,16,comp_46_3,Not at all odd,1,high,even,two
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_258_2,What is your native tongue?,0,comp_258_3,American English,2,,,
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_74_2,How odd is the number 7?,1,comp_77_3,Very odd,1,high,odd,seven
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_142_2,How odd is the number 1?,2,comp_145_3,Completely odd,3,high,odd,one
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_210_2,How good an example of an odd number is the number 8?,3,comp_210_3,Bad,3,high,even,eight
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_246_2,How well does the number 532 represent the category of odd numbers?,4,comp_246_3,Poorly,3,low,even,fivehundredthirtytwo
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_86_2,How well does the number 4 represent the category of odd numbers?,5,comp_86_3,Poorly,1,high,even,four
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_6_2,How well does the number 3 represent the category of odd numbers?,6,comp_9_3,Well,0,high,odd,three
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_30_2,How odd is the number 241?,7,comp_33_3,Completely odd,2,low,odd,twofortyone
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_182_2,How well does the number 730 represent the category of odd numbers?,8,comp_182_3,Poorly,1,low,even,sevenhundredthirty
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_166_2,How well does the number 6 represent the category of odd numbers?,9,comp_166_3,Poorly,1,high,even,six
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_146_2,How good an example of an odd number is the number 463?,10,comp_149_3,Good,1,low,odd,fourhundredsixtythree
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_122_2,How odd is the number 396?,11,comp_122_3,Not very odd,1,low,even,threehundredninetysix
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_194_2,How good an example of an odd number is the number 9?,12,comp_197_3,Good,0,high,odd,nine
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_62_2,How odd is the number 158?,13,comp_62_3,Not at all odd,2,low,even,onehundredfiftyeight
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_230_2,How well does the number 827 represent the category of odd numbers?,14,comp_233_3,Well,2,low,odd,eighthundredtwentyseven
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr25,AQVA0MR6Z4PJW,survey1,q_98_2,How good an example of an odd number is the number 465?,15,comp_101_3,Good,2,low,odd,fourhundredsixtyfive
sr25,AQVA0MR6Z4PJW,survey1,q_-1_-1,1394489081808,-1,comp_-1_-1,1394489081808,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,2,,,
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_90_2,How odd is the number 4?,0,comp_90_3,Not very odd,3,high,even,four
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_102_2,How well does the number 465 represent the category of odd numbers?,1,comp_105_3,Well,2,low,odd,fourhundredsixtyfive
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_202_2,How odd is the number 9?,2,comp_204_3,Somewhat odd,1,high,odd,nine
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_246_2,How well does the number 532 represent the category of odd numbers?,3,comp_246_3,Poorly,2,low,even,fivehundredthirtytwo
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_30_2,How odd is the number 241?,4,comp_33_3,Completely odd,0,low,odd,twofortyone
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_238_2,How odd is the number 827?,5,comp_240_3,Somewhat odd,2,low,odd,eighthundredtwentyseven
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_58_2,How odd is the number 158?,6,comp_59_3,Somewhat not odd,1,low,even,onehundredfiftyeight
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_114_2,How good an example of an odd number is the number 396?,7,comp_114_3,Bad,3,low,even,threehundredninetysix
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_2_2,How good an example of an odd number is the number 3?,8,comp_5_3,Good,0,high,odd,three
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_150_2,How well does the number 463 represent the category of odd numbers?,9,comp_152_3,Somewhat well,1,low,odd,fourhundredsixtythree
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_142_2,How odd is the number 1?,10,comp_145_3,Completely odd,1,high,odd,one
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_78_2,How odd is the number 7?,11,comp_81_3,Completely odd,0,high,odd,seven
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_214_2,How well does the number 8 represent the category of odd numbers?,12,comp_214_3,Poorly,1,high,even,eight
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_42_2,How odd is the number 2?,13,comp_42_3,Not very odd,2,high,even,two
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_182_2,How well does the number 730 represent the category of odd numbers?,14,comp_182_3,Poorly,1,low,even,sevenhundredthirty
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr26,AHAFCOJOE3KNX,survey1,q_170_2,How odd is the number 6?,15,comp_170_3,Not very odd,3,high,even,six
sr26,AHAFCOJOE3KNX,survey1,q_-1_-1,1394490548922,-1,comp_-1_-1,1394490548922,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,0,,,
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_222_2,How odd is the number 8?,0,comp_222_3,Not at all odd,2,high,even,eight
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_142_2,How odd is the number 1?,1,comp_143_3,Somewhat not odd,3,high,odd,one
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_22_2,How well does the number 241 represent the category of odd numbers?,2,comp_25_3,Well,0,low,odd,twofortyone
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_6_2,How well does the number 3 represent the category of odd numbers?,3,comp_6_3,Poorly,2,high,odd,three
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_70_2,How well does the number 7 represent the category of odd numbers?,4,comp_70_3,Poorly,3,high,odd,seven
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_150_2,How well does the number 463 represent the category of odd numbers?,5,comp_152_3,Somewhat well,0,low,odd,fourhundredsixtythree
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_174_2,How odd is the number 6?,6,comp_177_3,Completely odd,1,high,even,six
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_126_2,How odd is the number 396?,7,comp_129_3,Completely odd,1,low,even,threehundredninetysix
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_58_2,How odd is the number 158?,8,comp_60_3,Somewhat odd,0,low,even,onehundredfiftyeight
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_246_2,How well does the number 532 represent the category of odd numbers?,9,comp_248_3,Somewhat well,2,low,even,fivehundredthirtytwo
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_106_2,How odd is the number 465?,10,comp_109_3,Very odd,2,low,odd,fourhundredsixtyfive
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,11,comp_199_3,Somewhat poorly,1,high,odd,nine
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_34_2,How good an example of an odd number is the number 2?,12,comp_36_3,Somewhat good,1,high,even,two
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_226_2,How good an example of an odd number is the number 827?,13,comp_228_3,Somewhat good,1,low,odd,eighthundredtwentyseven
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_90_2,How odd is the number 4?,14,comp_93_3,Very odd,2,high,even,four
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr27,A16DW8U6WN87X2,survey1,q_178_2,How good an example of an odd number is the number 730?,15,comp_180_3,Somewhat good,0,low,even,sevenhundredthirty
sr27,A16DW8U6WN87X2,survey1,q_-1_-1,1394491029321,-1,comp_-1_-1,1394491029321,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_42_2,How odd is the number 2?,16,comp_42_3,Not very odd,0,high,even,two
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_258_2,What is your native tongue?,0,comp_258_3,American English,0,,,
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,1,comp_201_3,Well,1,high,odd,nine
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_254_2,How odd is the number 532?,2,comp_254_3,Not at all odd,0,low,even,fivehundredthirtytwo
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_114_2,How good an example of an odd number is the number 396?,3,comp_114_3,Bad,0,low,even,threehundredninetysix
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_26_2,How odd is the number 241?,4,comp_29_3,Very odd,0,low,odd,twofortyone
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_146_2,How good an example of an odd number is the number 463?,5,comp_149_3,Good,3,low,odd,fourhundredsixtythree
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_214_2,How well does the number 8 represent the category of odd numbers?,6,comp_214_3,Poorly,2,high,even,eight
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_238_2,How odd is the number 827?,7,comp_241_3,Completely odd,2,low,odd,eighthundredtwentyseven
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_58_2,How odd is the number 158?,8,comp_58_3,Not very odd,0,low,even,onehundredfiftyeight
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_2_2,How good an example of an odd number is the number 3?,9,comp_5_3,Good,1,high,odd,three
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_66_2,How good an example of an odd number is the number 7?,10,comp_69_3,Good,0,high,odd,seven
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_178_2,How good an example of an odd number is the number 730?,11,comp_178_3,Bad,0,low,even,sevenhundredthirty
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_94_2,How odd is the number 4?,12,comp_94_3,Not at all odd,0,high,even,four
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_110_2,How odd is the number 465?,13,comp_113_3,Completely odd,1,low,odd,fourhundredsixtyfive
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_130_2,How good an example of an odd number is the number 1?,14,comp_133_3,Good,3,high,odd,one
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr28,A1U3DE0I60UX8G,survey1,q_174_2,How odd is the number 6?,15,comp_174_3,Not at all odd,0,high,even,six
sr28,A1U3DE0I60UX8G,survey1,q_-1_-1,1394495053505,-1,comp_-1_-1,1394495053505,-1,,,
sr29,AMUTUODCFY14H,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,3,,,
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_114_2,How good an example of an odd number is the number 396?,0,comp_114_3,Bad,2,low,even,threehundredninetysix
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_162_2,How good an example of an odd number is the number 6?,1,comp_162_3,Bad,3,high,even,six
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_246_2,How well does the number 532 represent the category of odd numbers?,2,comp_246_3,Poorly,0,low,even,fivehundredthirtytwo
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_202_2,How odd is the number 9?,3,comp_205_3,Very odd,1,high,odd,nine
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_38_2,How well does the number 2 represent the category of odd numbers?,4,comp_38_3,Poorly,1,high,even,two
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_62_2,How odd is the number 158?,5,comp_62_3,Not at all odd,3,low,even,onehundredfiftyeight
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_110_2,How odd is the number 465?,6,comp_113_3,Completely odd,3,low,odd,fourhundredsixtyfive
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_78_2,How odd is the number 7?,7,comp_81_3,Completely odd,3,high,odd,seven
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_26_2,How odd is the number 241?,8,comp_29_3,Very odd,2,low,odd,twofortyone
sr29,AMUTUODCFY14H,survey1,q_-1_-1,1394496811259,-1,comp_-1_-1,1394496811259,-1,,,
sr29,AMUTUODCFY14H,survey1,q_154_2,How odd is the number 463?,9,comp_157_3,Very odd,0,low,odd,fourhundredsixtythree
