responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,correlation
sr37,A3LI0O659I8GFX,survey1,q_7_2,Are you a native speaker of English?,0,comp_7_3,Yes,1,
sr37,A3LI0O659I8GFX,survey1,q_2_2,What is your age?,1,comp_3_3,26-35,3,
sr37,A3LI0O659I8GFX,survey1,q_345_2,Please say both words aloud. Which one would you say?,2,comp_348_3,definitely silverware-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_201_2,Please say both words aloud. Which one would you say?,3,comp_204_3,definitely corvette-athon,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_17_2,Please say both words aloud. Which one would you say?,4,comp_18_3,probably berlin-licious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_365_2,Please say both words aloud. Which one would you say?,5,comp_367_3,probably antidote-athon,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_353_2,Please say both words aloud. Which one would you say?,6,comp_356_3,definitely hurricane-athon,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_29_2,Please say both words aloud. Which one would you say?,7,comp_29_3,definitely cayenne-licious,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_185_2,Please say both words aloud. Which one would you say?,8,comp_186_3,probably korea-licious,2,schwa
sr37,A3LI0O659I8GFX,survey1,q_301_2,Please say both words aloud. Which one would you say?,9,comp_303_3,probably affidavit-athon,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_9_2,Please say both words aloud. Which one would you say?,10,comp_11_3,probably corvette-alicious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_13_2,Please say both words aloud. Which one would you say?,11,comp_15_3,probably stampede-alicious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_205_2,Please say both words aloud. Which one would you say?,12,comp_208_3,definitely stampede-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_109_2,Please say both words aloud. Which one would you say?,13,comp_110_3,probably affidavit-licious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_317_2,Please say both words aloud. Which one would you say?,14,comp_319_3,probably coliseum-athon,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_45_2,Please say both words aloud. Which one would you say?,15,comp_45_3,definitely japan-licious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_117_2,Please say both words aloud. Which one would you say?,16,comp_119_3,probably meditation-alicious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_293_2,Please say both words aloud. Which one would you say?,17,comp_293_3,definitely drama-thon,0,schwa
sr37,A3LI0O659I8GFX,survey1,q_133_2,Please say both words aloud. Which one would you say?,18,comp_134_3,probably detective-licious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_65_2,Please say both words aloud. Which one would you say?,19,comp_65_3,definitely magic-licious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_333_2,Please say both words aloud. Which one would you say?,20,comp_336_3,definitely eleven-athon,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_225_2,Please say both words aloud. Which one would you say?,21,comp_228_3,definitely estate-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_157_2,Please say both words aloud. Which one would you say?,22,comp_160_3,definitely universe-alicious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_217_2,Please say both words aloud. Which one would you say?,23,comp_220_3,definitely champagne-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_149_2,Please say both words aloud. Which one would you say?,24,comp_150_3,probably asylum-licious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_49_2,Please say both words aloud. Which one would you say?,25,comp_50_3,probably cologne-licious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_193_2,Please say both words aloud. Which one would you say?,26,comp_193_3,definitely spaghetti-licious,3,vowel
sr37,A3LI0O659I8GFX,survey1,q_313_2,Please say both words aloud. Which one would you say?,27,comp_316_3,definitely penicillin-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_253_2,Please say both words aloud. Which one would you say?,28,comp_253_3,definitely secret-thon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_297_2,Please say both words aloud. Which one would you say?,29,comp_299_3,probably anesthetic-athon,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_269_2,Please say both words aloud. Which one would you say?,30,comp_269_3,definitely omelet-thon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_33_2,Please say both words aloud. Which one would you say?,31,comp_36_3,definitely estate-alicious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_93_2,Please say both words aloud. Which one would you say?,32,comp_93_3,definitely china-licious,3,schwa
sr37,A3LI0O659I8GFX,survey1,q_161_2,Please say both words aloud. Which one would you say?,33,comp_163_3,probably hurricane-alicious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_245_2,Please say both words aloud. Which one would you say?,34,comp_248_3,definitely marine-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_89_2,Please say both words aloud. Which one would you say?,35,comp_89_3,definitely hero-licious,0,vowel
sr37,A3LI0O659I8GFX,survey1,q_289_2,Please say both words aloud. Which one would you say?,36,comp_289_3,definitely cuba-thon,3,schwa
sr37,A3LI0O659I8GFX,survey1,q_329_2,Please say both words aloud. Which one would you say?,37,comp_330_3,probably commandment-thon,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_349_2,Please say both words aloud. Which one would you say?,38,comp_352_3,definitely universe-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_41_2,Please say both words aloud. Which one would you say?,39,comp_44_3,definitely balloon-alicious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_165_2,Please say both words aloud. Which one would you say?,40,comp_168_3,definitely valentine-alicious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_273_2,Please say both words aloud. Which one would you say?,41,comp_273_3,definitely chili-thon,3,vowel
sr37,A3LI0O659I8GFX,survey1,q_197_2,Please say both words aloud. Which one would you say?,42,comp_197_3,definitely miami-licious,3,vowel
sr37,A3LI0O659I8GFX,survey1,q_309_2,Please say both words aloud. Which one would you say?,43,comp_310_3,probably meditation-thon,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_141_2,Please say both words aloud. Which one would you say?,44,comp_143_3,probably eleven-alicious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_341_2,Please say both words aloud. Which one would you say?,45,comp_343_3,probably asylum-athon,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_189_2,Please say both words aloud. Which one would you say?,46,comp_189_3,definitely placebo-licious,0,vowel
sr37,A3LI0O659I8GFX,survey1,q_181_2,Please say both words aloud. Which one would you say?,47,comp_181_3,definitely banana-licious,0,schwa
sr37,A3LI0O659I8GFX,survey1,q_281_2,Please say both words aloud. Which one would you say?,48,comp_282_3,probably hero-thon,1,vowel
sr37,A3LI0O659I8GFX,survey1,q_385_2,Please say both words aloud. Which one would you say?,49,comp_385_3,definitely spaghetti-thon,0,vowel
sr37,A3LI0O659I8GFX,survey1,q_377_2,Please say both words aloud. Which one would you say?,50,comp_377_3,definitely korea-thon,0,schwa
sr37,A3LI0O659I8GFX,survey1,q_101_2,Please say both words aloud. Which one would you say?,51,comp_101_3,definitely drama-licious,0,schwa
sr37,A3LI0O659I8GFX,survey1,q_77_2,Please say both words aloud. Which one would you say?,52,comp_77_3,definitely omelet-licious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_285_2,Please say both words aloud. Which one would you say?,53,comp_285_3,definitely china-thon,3,schwa
sr37,A3LI0O659I8GFX,survey1,q_129_2,Please say both words aloud. Which one would you say?,54,comp_129_3,definitely ceramic-licious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_265_2,Please say both words aloud. Which one would you say?,55,comp_266_3,probably patrick-thon,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_321_2,Please say both words aloud. Which one would you say?,56,comp_321_3,definitely ceramic-thon,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_177_2,Please say both words aloud. Which one would you say?,57,comp_177_3,definitely antenna-licious,0,schwa
sr37,A3LI0O659I8GFX,survey1,q_337_2,Please say both words aloud. Which one would you say?,58,comp_339_3,probably opinion-athon,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_361_2,Please say both words aloud. Which one would you say?,59,comp_364_3,definitely nicotine-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_121_2,Please say both words aloud. Which one would you say?,60,comp_123_3,probably penicillin-alicious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_81_2,Please say both words aloud. Which one would you say?,61,comp_81_3,definitely chili-licious,3,vowel
sr37,A3LI0O659I8GFX,survey1,q_213_2,Please say both words aloud. Which one would you say?,62,comp_216_3,definitely typhoon-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_241_2,Please say both words aloud. Which one would you say?,63,comp_244_3,definitely cologne-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_277_2,Please say both words aloud. Which one would you say?,64,comp_277_3,definitely mayo-thon,0,vowel
sr37,A3LI0O659I8GFX,survey1,q_105_2,Please say both words aloud. Which one would you say?,65,comp_106_3,probably anesthetic-licious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_209_2,Please say both words aloud. Which one would you say?,66,comp_212_3,definitely berlin-athon,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_37_2,Please say both words aloud. Which one would you say?,67,comp_38_3,probably grenade-licious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_173_2,Please say both words aloud. Which one would you say?,68,comp_175_3,probably antidote-alicious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_61_2,Please say both words aloud. Which one would you say?,69,comp_62_3,probably secret-licious,1,consonant
sr37,A3LI0O659I8GFX,survey1,q_73_2,Please say both words aloud. Which one would you say?,70,comp_73_3,definitely patrick-licious,3,consonant
sr37,A3LI0O659I8GFX,survey1,q_357_2,Please say both words aloud. Which one would you say?,71,comp_360_3,definitely valentine-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_233_2,Please say both words aloud. Which one would you say?,72,comp_236_3,definitely balloon-athon,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_69_2,Please say both words aloud. Which one would you say?,73,comp_70_3,probably office-licious,2,consonant
sr37,A3LI0O659I8GFX,survey1,q_21_2,Please say both words aloud. Which one would you say?,74,comp_24_3,definitely typhoon-alicious,0,consonant
sr37,A3LI0O659I8GFX,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr38,A2YPGARAKET7N5,survey1,q_53_2,Please say both words aloud. Which one would you say?,12,comp_55_3,probably marine-alicious,1,consonant
sr38,A2YPGARAKET7N5,survey1,q_7_2,Are you a native speaker of English?,0,comp_7_3,Yes,0,
sr38,A2YPGARAKET7N5,survey1,q_2_2,What is your age?,1,comp_2_3,18-25,0,
sr38,A2YPGARAKET7N5,survey1,q_157_2,Please say both words aloud. Which one would you say?,2,comp_159_3,probably universe-alicious,2,consonant
sr38,A2YPGARAKET7N5,survey1,q_277_2,Please say both words aloud. Which one would you say?,3,comp_277_3,definitely mayo-thon,0,vowel
sr38,A2YPGARAKET7N5,survey1,q_97_2,Please say both words aloud. Which one would you say?,4,comp_100_3,definitely cuba-alicious,3,schwa
sr38,A2YPGARAKET7N5,survey1,q_117_2,Please say both words aloud. Which one would you say?,5,comp_118_3,probably meditation-licious,2,consonant
sr38,A2YPGARAKET7N5,survey1,q_109_2,Please say both words aloud. Which one would you say?,6,comp_109_3,definitely affidavit-licious,0,consonant
sr38,A2YPGARAKET7N5,survey1,q_377_2,Please say both words aloud. Which one would you say?,7,comp_379_3,probably korea-athon,1,schwa
sr38,A2YPGARAKET7N5,survey1,q_33_2,Please say both words aloud. Which one would you say?,8,comp_35_3,probably estate-alicious,2,consonant
sr38,A2YPGARAKET7N5,survey1,q_77_2,Please say both words aloud. Which one would you say?,9,comp_77_3,definitely omelet-licious,0,consonant
sr38,A2YPGARAKET7N5,survey1,q_301_2,Please say both words aloud. Which one would you say?,10,comp_302_3,probably affidavit-thon,2,consonant
sr38,A2YPGARAKET7N5,survey1,q_13_2,Please say both words aloud. Which one would you say?,11,comp_13_3,definitely stampede-licious,0,consonant
sr38,A2YPGARAKET7N5,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr40,AVNCVUNSUCUE3,survey1,q_-1_-1,lots of repeats ,-1,comp_-1_-1,lots of repeats ,-1,
sr40,AVNCVUNSUCUE3,survey1,q_2_2,What is your age?,0,comp_5_3,46-65,1,
sr40,AVNCVUNSUCUE3,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,0,
sr40,AVNCVUNSUCUE3,survey1,q_229_2,Please say both words aloud. Which one would you say?,2,comp_232_3,definitely grenade-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_341_2,Please say both words aloud. Which one would you say?,3,comp_344_3,definitely asylum-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_217_2,Please say both words aloud. Which one would you say?,4,comp_220_3,definitely champagne-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_249_2,Please say both words aloud. Which one would you say?,5,comp_252_3,definitely decade-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_37_2,Please say both words aloud. Which one would you say?,6,comp_40_3,definitely grenade-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_185_2,Please say both words aloud. Which one would you say?,7,comp_185_3,definitely korea-licious,3,schwa
sr40,AVNCVUNSUCUE3,survey1,q_77_2,Please say both words aloud. Which one would you say?,8,comp_79_3,probably omelet-alicious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_237_2,Please say both words aloud. Which one would you say?,9,comp_240_3,definitely japan-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_233_2,Please say both words aloud. Which one would you say?,10,comp_236_3,definitely balloon-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_181_2,Please say both words aloud. Which one would you say?,11,comp_181_3,definitely banana-licious,0,schwa
sr40,AVNCVUNSUCUE3,survey1,q_245_2,Please say both words aloud. Which one would you say?,12,comp_247_3,probably marine-athon,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_385_2,Please say both words aloud. Which one would you say?,13,comp_386_3,probably spaghetti-thon,1,vowel
sr40,AVNCVUNSUCUE3,survey1,q_97_2,Please say both words aloud. Which one would you say?,14,comp_97_3,definitely cuba-licious,0,schwa
sr40,AVNCVUNSUCUE3,survey1,q_297_2,Please say both words aloud. Which one would you say?,15,comp_300_3,definitely anesthetic-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_193_2,Please say both words aloud. Which one would you say?,16,comp_194_3,probably spaghetti-licious,1,vowel
sr40,AVNCVUNSUCUE3,survey1,q_329_2,Please say both words aloud. Which one would you say?,17,comp_332_3,definitely commandment-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_349_2,Please say both words aloud. Which one would you say?,18,comp_352_3,definitely universe-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_41_2,Please say both words aloud. Which one would you say?,19,comp_44_3,definitely balloon-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_61_2,Please say both words aloud. Which one would you say?,20,comp_63_3,probably secret-alicious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_225_2,Please say both words aloud. Which one would you say?,21,comp_228_3,definitely estate-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_257_2,Please say both words aloud. Which one would you say?,22,comp_260_3,definitely magic-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_69_2,Please say both words aloud. Which one would you say?,23,comp_70_3,probably office-licious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_201_2,Please say both words aloud. Which one would you say?,24,comp_203_3,probably corvette-athon,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_137_2,Please say both words aloud. Which one would you say?,25,comp_140_3,definitely commandment-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_169_2,Please say both words aloud. Which one would you say?,26,comp_172_3,definitely nicotine-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_165_2,Please say both words aloud. Which one would you say?,27,comp_168_3,definitely valentine-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_373_2,Please say both words aloud. Which one would you say?,28,comp_373_3,definitely banana-thon,3,schwa
sr40,AVNCVUNSUCUE3,survey1,q_377_2,Please say both words aloud. Which one would you say?,29,comp_377_3,definitely korea-thon,3,schwa
sr40,AVNCVUNSUCUE3,survey1,q_17_2,Please say both words aloud. Which one would you say?,30,comp_20_3,definitely berlin-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_105_2,Please say both words aloud. Which one would you say?,31,comp_107_3,probably anesthetic-alicious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_89_2,Please say both words aloud. Which one would you say?,32,comp_90_3,probably hero-licious,2,vowel
sr40,AVNCVUNSUCUE3,survey1,q_357_2,Please say both words aloud. Which one would you say?,33,comp_359_3,probably valentine-athon,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_369_2,Please say both words aloud. Which one would you say?,34,comp_369_3,definitely antenna-thon,3,schwa
sr40,AVNCVUNSUCUE3,survey1,q_81_2,Please say both words aloud. Which one would you say?,35,comp_82_3,probably chili-licious,2,vowel
sr40,AVNCVUNSUCUE3,survey1,q_221_2,Please say both words aloud. Which one would you say?,36,comp_223_3,probably cayenne-athon,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_317_2,Please say both words aloud. Which one would you say?,37,comp_320_3,definitely coliseum-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_121_2,Please say both words aloud. Which one would you say?,38,comp_124_3,definitely penicillin-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_161_2,Please say both words aloud. Which one would you say?,39,comp_164_3,definitely hurricane-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_269_2,Please say both words aloud. Which one would you say?,40,comp_272_3,definitely omelet-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_209_2,Please say both words aloud. Which one would you say?,41,comp_212_3,definitely berlin-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_177_2,Please say both words aloud. Which one would you say?,42,comp_178_3,probably antenna-licious,2,schwa
sr40,AVNCVUNSUCUE3,survey1,q_149_2,Please say both words aloud. Which one would you say?,43,comp_151_3,probably asylum-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_9_2,Please say both words aloud. Which one would you say?,44,comp_11_3,probably corvette-alicious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_277_2,Please say both words aloud. Which one would you say?,45,comp_279_3,probably mayo-athon,1,vowel
sr40,AVNCVUNSUCUE3,survey1,q_25_2,Please say both words aloud. Which one would you say?,46,comp_27_3,probably champagne-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_365_2,Please say both words aloud. Which one would you say?,47,comp_368_3,definitely antidote-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_157_2,Please say both words aloud. Which one would you say?,48,comp_159_3,probably universe-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_337_2,Please say both words aloud. Which one would you say?,49,comp_340_3,definitely opinion-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_285_2,Please say both words aloud. Which one would you say?,50,comp_285_3,definitely china-thon,0,schwa
sr40,AVNCVUNSUCUE3,survey1,q_289_2,Please say both words aloud. Which one would you say?,51,comp_289_3,definitely cuba-thon,0,schwa
sr40,AVNCVUNSUCUE3,survey1,q_381_2,Please say both words aloud. Which one would you say?,52,comp_384_3,definitely placebo-athon,0,vowel
sr40,AVNCVUNSUCUE3,survey1,q_21_2,Please say both words aloud. Which one would you say?,53,comp_24_3,definitely typhoon-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_53_2,Please say both words aloud. Which one would you say?,54,comp_55_3,probably marine-alicious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_241_2,Please say both words aloud. Which one would you say?,55,comp_243_3,probably cologne-athon,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_153_2,Please say both words aloud. Which one would you say?,56,comp_155_3,probably silverware-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_129_2,Please say both words aloud. Which one would you say?,57,comp_132_3,definitely ceramic-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_389_2,Please say both words aloud. Which one would you say?,58,comp_389_3,definitely miami-thon,0,vowel
sr40,AVNCVUNSUCUE3,survey1,q_309_2,Please say both words aloud. Which one would you say?,59,comp_312_3,definitely meditation-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_253_2,Please say both words aloud. Which one would you say?,60,comp_256_3,definitely secret-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_333_2,Please say both words aloud. Which one would you say?,61,comp_336_3,definitely eleven-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_141_2,Please say both words aloud. Which one would you say?,62,comp_144_3,definitely eleven-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_197_2,Please say both words aloud. Which one would you say?,63,comp_199_3,probably miami-alicious,2,vowel
sr40,AVNCVUNSUCUE3,survey1,q_133_2,Please say both words aloud. Which one would you say?,64,comp_135_3,probably detective-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_13_2,Please say both words aloud. Which one would you say?,65,comp_15_3,probably stampede-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_205_2,Please say both words aloud. Which one would you say?,66,comp_208_3,definitely stampede-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_49_2,Please say both words aloud. Which one would you say?,67,comp_51_3,probably cologne-alicious,2,consonant
sr40,AVNCVUNSUCUE3,survey1,q_273_2,Please say both words aloud. Which one would you say?,68,comp_276_3,definitely chili-athon,3,vowel
sr40,AVNCVUNSUCUE3,survey1,q_117_2,Please say both words aloud. Which one would you say?,69,comp_120_3,definitely meditation-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_85_2,Please say both words aloud. Which one would you say?,70,comp_86_3,probably mayo-licious,1,vowel
sr40,AVNCVUNSUCUE3,survey1,q_305_2,Please say both words aloud. Which one would you say?,71,comp_308_3,definitely orthodonist-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_109_2,Please say both words aloud. Which one would you say?,72,comp_112_3,definitely affidavit-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_173_2,Please say both words aloud. Which one would you say?,73,comp_176_3,definitely antidote-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_345_2,Please say both words aloud. Which one would you say?,74,comp_348_3,definitely silverware-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_33_2,Please say both words aloud. Which one would you say?,75,comp_35_3,probably estate-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_101_2,Please say both words aloud. Which one would you say?,76,comp_101_3,definitely drama-licious,0,schwa
sr40,AVNCVUNSUCUE3,survey1,q_93_2,Please say both words aloud. Which one would you say?,77,comp_93_3,definitely china-licious,0,schwa
sr40,AVNCVUNSUCUE3,survey1,q_301_2,Please say both words aloud. Which one would you say?,78,comp_304_3,definitely affidavit-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_45_2,Please say both words aloud. Which one would you say?,79,comp_48_3,definitely japan-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_361_2,Please say both words aloud. Which one would you say?,80,comp_364_3,definitely nicotine-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_113_2,Please say both words aloud. Which one would you say?,81,comp_116_3,definitely orthodonist-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_145_2,Please say both words aloud. Which one would you say?,82,comp_148_3,definitely opinion-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_321_2,Please say both words aloud. Which one would you say?,83,comp_324_3,definitely ceramic-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_313_2,Please say both words aloud. Which one would you say?,84,comp_316_3,definitely penicillin-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_125_2,Please say both words aloud. Which one would you say?,85,comp_127_3,probably coliseum-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_261_2,Please say both words aloud. Which one would you say?,86,comp_264_3,definitely office-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_265_2,Please say both words aloud. Which one would you say?,87,comp_268_3,definitely patrick-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_281_2,Please say both words aloud. Which one would you say?,88,comp_283_3,probably hero-athon,2,vowel
sr40,AVNCVUNSUCUE3,survey1,q_73_2,Please say both words aloud. Which one would you say?,89,comp_76_3,definitely patrick-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_189_2,Please say both words aloud. Which one would you say?,90,comp_191_3,probably placebo-alicious,2,vowel
sr40,AVNCVUNSUCUE3,survey1,q_29_2,Please say both words aloud. Which one would you say?,91,comp_31_3,probably cayenne-alicious,1,consonant
sr40,AVNCVUNSUCUE3,survey1,q_325_2,Please say both words aloud. Which one would you say?,92,comp_328_3,definitely detective-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_213_2,Please say both words aloud. Which one would you say?,93,comp_216_3,definitely typhoon-athon,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_293_2,Please say both words aloud. Which one would you say?,94,comp_295_3,probably drama-athon,2,schwa
sr40,AVNCVUNSUCUE3,survey1,q_57_2,Please say both words aloud. Which one would you say?,95,comp_60_3,definitely decade-alicious,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_353_2,Please say both words aloud. Which one would you say?,96,comp_356_3,definitely hurricane-athon,3,consonant
sr40,AVNCVUNSUCUE3,survey1,q_65_2,Please say both words aloud. Which one would you say?,97,comp_68_3,definitely magic-alicious,0,consonant
sr40,AVNCVUNSUCUE3,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr41,A3C8BZJ1EXH4KM,survey1,q_-1_-1,N/A,-1,comp_-1_-1,N/A,-1,
sr41,A3C8BZJ1EXH4KM,survey1,q_2_2,What is your age?,0,comp_3_3,26-35,1,
sr41,A3C8BZJ1EXH4KM,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,1,
sr41,A3C8BZJ1EXH4KM,survey1,q_25_2,Please say both words aloud. Which one would you say?,2,comp_25_3,definitely champagne-licious,0,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_13_2,Please say both words aloud. Which one would you say?,3,comp_16_3,definitely stampede-alicious,0,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_245_2,Please say both words aloud. Which one would you say?,4,comp_248_3,definitely marine-athon,0,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_57_2,Please say both words aloud. Which one would you say?,5,comp_60_3,definitely decade-alicious,3,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_345_2,Please say both words aloud. Which one would you say?,6,comp_348_3,definitely silverware-athon,3,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_153_2,Please say both words aloud. Which one would you say?,7,comp_156_3,definitely silverware-alicious,0,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_29_2,Please say both words aloud. Which one would you say?,8,comp_30_3,probably cayenne-licious,1,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_21_2,Please say both words aloud. Which one would you say?,9,comp_22_3,probably typhoon-licious,2,consonant
sr41,A3C8BZJ1EXH4KM,survey1,q_81_2,Please say both words aloud. Which one would you say?,10,comp_81_3,definitely chili-licious,0,vowel
sr41,A3C8BZJ1EXH4KM,survey1,q_301_2,Please say both words aloud. Which one would you say?,11,comp_303_3,probably affidavit-athon,2,consonant
